city,seats
Fes,1020
Meknes,1040
Oujda,1000
Casablanca,920
Agadir,1000
Sale,910
Beni Mellal,910
Safi,660
Essaouira,500
Guelmim,570
Laayoune,660
Khenifra,580
Kenitra,545
Sidi Bennour,280
Fquih Ben Salah,960
Nador,620
Kelaat Sraghna,510
Dakhla,510
Ouarzazate,260
Tetouan,400
Al Hoceima,120
Taounate,40
TOTAL,14015
