city,seats
Fes,1020
Meknes,1000
Oujda,1000
Casablanca,920
Agadir,1000
Sale,910
Beni Mellal,900
Safi,620
Essaouira,500
Guelmim,550
Laayoune,560
Khenifra,580
Kenitra,500
Sidi Bennour,280
Fquih Ben Salah,960
Nador,620
Kelaat Sraghna,450
Dakhla,440
Ouarzazate,240
Tetouan,400
TOTAL,13450
