program,initial_capacity,initial_waitlist_length,vacancies_announced,late_admission_rows,unique_admitted_codes,matched_codes,min_rank,p10_rank,p25_rank,median_rank,mean_rank,p75_rank,p90_rank,max_rank,minimum_positions_per_announced_vacancy
Génie Electrique,125,2265,75,75,74,74,9,68,419,860,805.05,1244,1509,1667,22.23
Génie Informatique,139,2848,90,90,89,89,24,137,324,680,702.39,1100,1322,1451,16.12
Génie des Procédés,131,2902,83,83,81,81,30,338,958,1302,1171.42,1572,1700,1781,21.46
Génie Mécanique et Productique,125,763,25,25,25,25,5,8,22,63,74.72,123,160,162,6.48
Banque Finance Assurance,100,1657,38,34,33,33,30,99,643,1035,980.94,1463,1579,1635,43.03
Management Digital des Organisations,100,1571,30,30,28,28,9,34,81,686,701.07,1180,1453,1519,50.63
E-Business et Management,100,1577,30,24,24,24,1,104,265,779,771.58,1204,1499,1544,51.47
Gestion Financière et Comptable,100,210,2,2,2,2,10,10,10,10,13.00,16,16,16,8.00
