network,city,phase,published_date,minimum_reached_rank,scope,verified_candidates,source_url,note
ENSA,Safi,regional_waitlist_3,2025-09-16,70,regional,25,https://ensas.uca.ma/annoncesFichier/2241-safi_regionale_ENSAS.pdf,"Published admitted list; ranks are non-contiguous"
ENSA,Safi,regional_waitlist_5,2025-09-23,300,regional,40,https://ensas.uca.ma/annoncesFichier/2246-annonce%20liste%20d%27attente%205.pdf,"Published admitted list; not directly comparable with the national Cursussup rank"
